legacy_file,status,modern_recipe,reason
"crystalcluster2_10",REPLACED,"abyssalcraft:beryllium_crystal_cluster","equivalent modern recipe already exists"
"crystalcluster2_11",REPLACED,"abyssalcraft:beryl_crystal_cluster","equivalent modern recipe already exists"
"crystalcluster2_2",REPLACED,"abyssalcraft:silicon_crystal_cluster","equivalent modern recipe already exists"
"crystalcluster2_3",REPLACED,"abyssalcraft:magnesium_crystal_cluster","equivalent modern recipe already exists"
"crystalcluster2_4",REPLACED,"abyssalcraft:aluminium_crystal_cluster","equivalent modern recipe already exists"
"crystalcluster2_5",REPLACED,"abyssalcraft:silica_crystal_cluster","equivalent modern recipe already exists"
"crystalcluster2_6",REPLACED,"abyssalcraft:alumina_crystal_cluster","equivalent modern recipe already exists"
"crystalcluster2_7",REPLACED,"abyssalcraft:magnesia_crystal_cluster","equivalent modern recipe already exists"
"crystalcluster2_8",REPLACED,"abyssalcraft:zinc_crystal_cluster","equivalent modern recipe already exists"
"crystalcluster2_9",REPLACED,"abyssalcraft:calcium_crystal_cluster","equivalent modern recipe already exists"
"crystalcluster_0",REPLACED,"abyssalcraft:iron_crystal_cluster","equivalent modern recipe already exists"
"crystalcluster_1",REPLACED,"abyssalcraft:gold_crystal_cluster","equivalent modern recipe already exists"
"crystalcluster_10",REPLACED,"abyssalcraft:methane_crystal_cluster","equivalent modern recipe already exists"
"crystalcluster_11",REPLACED,"abyssalcraft:redstone_crystal_cluster","equivalent modern recipe already exists"
"crystalcluster_12",REPLACED,"abyssalcraft:abyssalnite_crystal_cluster","equivalent modern recipe already exists"
"crystalcluster_13",REPLACED,"abyssalcraft:coralium_crystal_cluster","equivalent modern recipe already exists"
"crystalcluster_14",REPLACED,"abyssalcraft:dreadium_crystal_cluster","equivalent modern recipe already exists"
"crystalcluster_15",REPLACED,"abyssalcraft:blaze_crystal_cluster","equivalent modern recipe already exists"
"crystalcluster_2",REPLACED,"abyssalcraft:sulfur_crystal_cluster","equivalent modern recipe already exists"
"crystalcluster_3",REPLACED,"abyssalcraft:carbon_crystal_cluster","equivalent modern recipe already exists"
"crystalcluster_4",REPLACED,"abyssalcraft:oxygen_crystal_cluster","equivalent modern recipe already exists"
"crystalcluster_5",REPLACED,"abyssalcraft:hydrogen_crystal_cluster","equivalent modern recipe already exists"
"crystalcluster_6",REPLACED,"abyssalcraft:nitrogen_crystal_cluster","equivalent modern recipe already exists"
"crystalcluster_7",REPLACED,"abyssalcraft:phosphorus_crystal_cluster","equivalent modern recipe already exists"
"crystalcluster_8",REPLACED,"abyssalcraft:potassium_crystal_cluster","equivalent modern recipe already exists"
"crystalcluster_9",REPLACED,"abyssalcraft:nitrate_crystal_cluster","equivalent modern recipe already exists"
"crystalfragment_0",MIGRATED,"abyssalcraft:crystalfragment_0",""
"crystalfragment_1",MIGRATED,"abyssalcraft:crystalfragment_1",""
"crystalfragment_10",MIGRATED,"abyssalcraft:crystalfragment_10",""
"crystalfragment_10_alt",MIGRATED,"abyssalcraft:crystalfragment_10_alt",""
"crystalfragment_11",MIGRATED,"abyssalcraft:crystalfragment_11",""
"crystalfragment_12",MIGRATED,"abyssalcraft:crystalfragment_12",""
"crystalfragment_13",MIGRATED,"abyssalcraft:crystalfragment_13",""
"crystalfragment_14",MIGRATED,"abyssalcraft:crystalfragment_14",""
"crystalfragment_15",MIGRATED,"abyssalcraft:crystalfragment_15",""
"crystalfragment_18",MIGRATED,"abyssalcraft:crystalfragment_18",""
"crystalfragment_19",MIGRATED,"abyssalcraft:crystalfragment_19",""
"crystalfragment_2",MIGRATED,"abyssalcraft:crystalfragment_2",""
"crystalfragment_20",MIGRATED,"abyssalcraft:crystalfragment_20",""
"crystalfragment_21",MIGRATED,"abyssalcraft:crystalfragment_21",""
"crystalfragment_21_alt",MIGRATED,"abyssalcraft:crystalfragment_21_alt",""
"crystalfragment_22",MIGRATED,"abyssalcraft:crystalfragment_22",""
"crystalfragment_22_alt",MIGRATED,"abyssalcraft:crystalfragment_22_alt",""
"crystalfragment_23",MIGRATED,"abyssalcraft:crystalfragment_23",""
"crystalfragment_23_alt",MIGRATED,"abyssalcraft:crystalfragment_23_alt",""
"crystalfragment_24",MIGRATED,"abyssalcraft:crystalfragment_24",""
"crystalfragment_25",MIGRATED,"abyssalcraft:crystalfragment_25",""
"crystalfragment_26",MIGRATED,"abyssalcraft:crystalfragment_26",""
"crystalfragment_27",MIGRATED,"abyssalcraft:crystalfragment_27",""
"crystalfragment_3",MIGRATED,"abyssalcraft:crystalfragment_3",""
"crystalfragment_4",MIGRATED,"abyssalcraft:crystalfragment_4",""
"crystalfragment_5",MIGRATED,"abyssalcraft:crystalfragment_5",""
"crystalfragment_6",MIGRATED,"abyssalcraft:crystalfragment_6",""
"crystalfragment_7",MIGRATED,"abyssalcraft:crystalfragment_7",""
"crystalfragment_8",MIGRATED,"abyssalcraft:crystalfragment_8",""
"crystalfragment_9",MIGRATED,"abyssalcraft:crystalfragment_9",""
"crystalfragment_9_alt",MIGRATED,"abyssalcraft:crystalfragment_9_alt",""
"crystallizer",MIGRATED,"abyssalcraft:crystallizer",""
"crystalshard_0",MIGRATED,"abyssalcraft:crystalshard_0",""
"crystalshard_0_alt",MIGRATED,"abyssalcraft:crystalshard_0_alt",""
"crystalshard_1",MIGRATED,"abyssalcraft:crystalshard_1",""
"crystalshard_10",MIGRATED,"abyssalcraft:crystalshard_10",""
"crystalshard_10_alt",MIGRATED,"abyssalcraft:crystalshard_10_alt",""
"crystalshard_10_alt_alt",MIGRATED,"abyssalcraft:crystalshard_10_alt_alt",""
"crystalshard_11",MIGRATED,"abyssalcraft:crystalshard_11",""
"crystalshard_11_alt",MIGRATED,"abyssalcraft:crystalshard_11_alt",""
"crystalshard_12",MIGRATED,"abyssalcraft:crystalshard_12",""
"crystalshard_12_alt",MIGRATED,"abyssalcraft:crystalshard_12_alt",""
"crystalshard_13",MIGRATED,"abyssalcraft:crystalshard_13",""
"crystalshard_13_alt",MIGRATED,"abyssalcraft:crystalshard_13_alt",""
"crystalshard_14",MIGRATED,"abyssalcraft:crystalshard_14",""
"crystalshard_14_alt",MIGRATED,"abyssalcraft:crystalshard_14_alt",""
"crystalshard_15",MIGRATED,"abyssalcraft:crystalshard_15",""
"crystalshard_15_alt",MIGRATED,"abyssalcraft:crystalshard_15_alt",""
"crystalshard_18",MIGRATED,"abyssalcraft:crystalshard_18",""
"crystalshard_18_alt",MIGRATED,"abyssalcraft:crystalshard_18_alt",""
"crystalshard_19",MIGRATED,"abyssalcraft:crystalshard_19",""
"crystalshard_19_alt",MIGRATED,"abyssalcraft:crystalshard_19_alt",""
"crystalshard_1_alt",MIGRATED,"abyssalcraft:crystalshard_1_alt",""
"crystalshard_2",MIGRATED,"abyssalcraft:crystalshard_2",""
"crystalshard_20",MIGRATED,"abyssalcraft:crystalshard_20",""
"crystalshard_20_alt",MIGRATED,"abyssalcraft:crystalshard_20_alt",""
"crystalshard_21",MIGRATED,"abyssalcraft:crystalshard_21",""
"crystalshard_21_alt",MIGRATED,"abyssalcraft:crystalshard_21_alt",""
"crystalshard_21_alt_alt",MIGRATED,"abyssalcraft:crystalshard_21_alt_alt",""
"crystalshard_22",MIGRATED,"abyssalcraft:crystalshard_22",""
"crystalshard_22_alt",MIGRATED,"abyssalcraft:crystalshard_22_alt",""
"crystalshard_22_alt_alt",MIGRATED,"abyssalcraft:crystalshard_22_alt_alt",""
"crystalshard_23",MIGRATED,"abyssalcraft:crystalshard_23",""
"crystalshard_23_alt",MIGRATED,"abyssalcraft:crystalshard_23_alt",""
"crystalshard_23_alt_alt",MIGRATED,"abyssalcraft:crystalshard_23_alt_alt",""
"crystalshard_24",MIGRATED,"abyssalcraft:crystalshard_24",""
"crystalshard_24_alt",MIGRATED,"abyssalcraft:crystalshard_24_alt",""
"crystalshard_25",MIGRATED,"abyssalcraft:crystalshard_25",""
"crystalshard_25_alt",MIGRATED,"abyssalcraft:crystalshard_25_alt",""
"crystalshard_26",MIGRATED,"abyssalcraft:crystalshard_26",""
"crystalshard_26_alt",MIGRATED,"abyssalcraft:crystalshard_26_alt",""
"crystalshard_27",MIGRATED,"abyssalcraft:crystalshard_27",""
"crystalshard_27_alt",MIGRATED,"abyssalcraft:crystalshard_27_alt",""
"crystalshard_2_alt",MIGRATED,"abyssalcraft:crystalshard_2_alt",""
"crystalshard_3",MIGRATED,"abyssalcraft:crystalshard_3",""
"crystalshard_3_alt",MIGRATED,"abyssalcraft:crystalshard_3_alt",""
"crystalshard_4",MIGRATED,"abyssalcraft:crystalshard_4",""
"crystalshard_4_alt",MIGRATED,"abyssalcraft:crystalshard_4_alt",""
"crystalshard_5",MIGRATED,"abyssalcraft:crystalshard_5",""
"crystalshard_5_alt",MIGRATED,"abyssalcraft:crystalshard_5_alt",""
"crystalshard_6",MIGRATED,"abyssalcraft:crystalshard_6",""
"crystalshard_6_alt",MIGRATED,"abyssalcraft:crystalshard_6_alt",""
"crystalshard_7",MIGRATED,"abyssalcraft:crystalshard_7",""
"crystalshard_7_alt",MIGRATED,"abyssalcraft:crystalshard_7_alt",""
"crystalshard_8",MIGRATED,"abyssalcraft:crystalshard_8",""
"crystalshard_8_alt",MIGRATED,"abyssalcraft:crystalshard_8_alt",""
"crystalshard_9",MIGRATED,"abyssalcraft:crystalshard_9",""
"crystalshard_9_alt",MIGRATED,"abyssalcraft:crystalshard_9_alt",""
"crystalshard_9_alt_alt",MIGRATED,"abyssalcraft:crystalshard_9_alt_alt",""
"cstonebrick_0",MIGRATED,"abyssalcraft:cstonebrick_0",""
"cstonebrick_1",MIGRATED,"abyssalcraft:cstonebrick_1",""
"cstonebrickfence",MIGRATED,"abyssalcraft:cstonebrickfence",""
"cstonebrickslab1_0",MIGRATED,"abyssalcraft:cstonebrickslab1_0",""
"cstonebrickstairs",MIGRATED,"abyssalcraft:cstonebrickstairs",""
"cstonebutton",MIGRATED,"abyssalcraft:cstonebutton",""
"cstonepplate",MIGRATED,"abyssalcraft:cstonepplate",""
"darkbrickslab1_0",MIGRATED,"abyssalcraft:darkbrickslab1_0",""
"darkcobbleslab1_0",MIGRATED,"abyssalcraft:darkcobbleslab1_0",""
"darkethaxiumbrick_0",MIGRATED,"abyssalcraft:darkethaxiumbrick_0",""
"darkethaxiumbrick_1",MIGRATED,"abyssalcraft:darkethaxiumbrick_1",""
"darkethaxiumbrickfence",MIGRATED,"abyssalcraft:darkethaxiumbrickfence",""
"darkethaxiumbrickslab1_0",MIGRATED,"abyssalcraft:darkethaxiumbrickslab1_0",""
"darkethaxiumbrickstairs",MIGRATED,"abyssalcraft:darkethaxiumbrickstairs",""
"darkethaxiumpillar",MIGRATED,"abyssalcraft:darkethaxiumpillar",""
"darklands_oak_fence_gate",MIGRATED,"abyssalcraft:darklands_oak_fence_gate",""
"darkstone_brick_0",MIGRATED,"abyssalcraft:darkstone_brick_0",""
"darkstone_brick_1",MIGRATED,"abyssalcraft:darkstone_brick_1",""
"darkstoneslab1_0",MIGRATED,"abyssalcraft:darkstoneslab1_0",""
"dbstairs",MIGRATED,"abyssalcraft:dbstairs",""
"dcstairs",MIGRATED,"abyssalcraft:dcstairs",""
"decorativestatue_0",MIGRATED,"abyssalcraft:decorativestatue_0",""
"decorativestatue_1",MIGRATED,"abyssalcraft:decorativestatue_1",""
"decorativestatue_2",MIGRATED,"abyssalcraft:decorativestatue_2",""
"decorativestatue_3",MIGRATED,"abyssalcraft:decorativestatue_3",""
"decorativestatue_4",MIGRATED,"abyssalcraft:decorativestatue_4",""
"decorativestatue_5",MIGRATED,"abyssalcraft:decorativestatue_5",""
"decorativestatue_6",MIGRATED,"abyssalcraft:decorativestatue_6",""
"densecarboncluster",MIGRATED,"abyssalcraft:densecarboncluster",""
"dltbutton",MIGRATED,"abyssalcraft:dltbutton",""
"dltfence",MIGRATED,"abyssalcraft:dltfence",""
"dltplank",MIGRATED,"abyssalcraft:dltplank",""
"dltplank_alt",REPLACED,"abyssalcraft:dltplank","legacy second Darklands log is the same modern darklands_oak_log"
"dltpplate",MIGRATED,"abyssalcraft:dltpplate",""
"dltslab1_0",MIGRATED,"abyssalcraft:dltslab1_0",""
"dltstairs",MIGRATED,"abyssalcraft:dltstairs",""
"door_dlt",MIGRATED,"abyssalcraft:door_dlt",""
"door_drt",MIGRATED,"abyssalcraft:door_drt",""
"drainstaff_0",MIGRATED,"abyssalcraft:drainstaff_0",""
"dreadblade",MIGRATED,"abyssalcraft:dreadblade",""
"dreadbrick_0",MIGRATED,"abyssalcraft:dreadbrick_0",""
"dreadbrick_1",MIGRATED,"abyssalcraft:dreadbrick_1",""
"dreadbrickfence",MIGRATED,"abyssalcraft:dreadbrickfence",""
"dreadbrickslab1_0",MIGRATED,"abyssalcraft:dreadbrickslab1_0",""
"dreadbrickstairs",MIGRATED,"abyssalcraft:dreadbrickstairs",""
"dreadcloth",MIGRATED,"abyssalcraft:dreadcloth",""
"dreadcloth_alt",MIGRATED,"abyssalcraft:dreadcloth_alt",""
"dreadhilt",MIGRATED,"abyssalcraft:dreadhilt",""
"dreadiumaxe",MIGRATED,"abyssalcraft:dreadiumaxe",""
"dreadiumboots",MIGRATED,"abyssalcraft:dreadiumboots",""
"dreadiumhelmet",MIGRATED,"abyssalcraft:dreadiumhelmet",""
"dreadiumhoe",MIGRATED,"abyssalcraft:dreadiumhoe",""
"dreadiumingot",REPLACED,"abyssalcraft:dreadium_ingot_from_block","equivalent modern recipe already exists"
"dreadiumingot_alt",MIGRATED,"abyssalcraft:dreadiumingot_alt",""
"dreadiumlegs",MIGRATED,"abyssalcraft:dreadiumlegs",""
"dreadiumpickaxe",MIGRATED,"abyssalcraft:dreadiumpickaxe",""
"dreadiumplate",MIGRATED,"abyssalcraft:dreadiumplate",""
"dreadiumsamuraiboots",MIGRATED,"abyssalcraft:dreadiumsamuraiboots",""
"dreadiumsamuraihelmet",MIGRATED,"abyssalcraft:dreadiumsamuraihelmet",""
"dreadiumsamurailegs",MIGRATED,"abyssalcraft:dreadiumsamurailegs",""
"dreadiumsamuraiplate",MIGRATED,"abyssalcraft:dreadiumsamuraiplate",""
"dreadiumshovel",MIGRATED,"abyssalcraft:dreadiumshovel",""
"dreadiumsword",MIGRATED,"abyssalcraft:dreadiumsword",""
"dreadkatana",MIGRATED,"abyssalcraft:dreadkatana",""
"dreadplanks",MIGRATED,"abyssalcraft:dreadplanks",""
"dreadplate",MIGRATED,"abyssalcraft:dreadplate",""
"dreadstonecobblestoneslab1_0",MIGRATED,"abyssalcraft:dreadstonecobblestoneslab1_0",""
"dreadstonecobblestonestairs",MIGRATED,"abyssalcraft:dreadstonecobblestonestairs",""
"dreadstonecobblestonewall",MIGRATED,"abyssalcraft:dreadstonecobblestonewall",""
"dreadwood_button",MIGRATED,"abyssalcraft:dreadwood_button",""
"dreadwood_fence_gate",MIGRATED,"abyssalcraft:dreadwood_fence_gate",""
"dreadwood_pplate",MIGRATED,"abyssalcraft:dreadwood_pplate",""
"dreadwood_slab1",MIGRATED,"abyssalcraft:dreadwood_slab1",""
"dreadwood_stairs",MIGRATED,"abyssalcraft:dreadwood_stairs",""
"drtfence",MIGRATED,"abyssalcraft:drtfence",""
"dsbfence",MIGRATED,"abyssalcraft:dsbfence",""
"dsbutton",MIGRATED,"abyssalcraft:dsbutton",""
"dscwall",MIGRATED,"abyssalcraft:dscwall",""
"dsglow",MIGRATED,"abyssalcraft:dsglow",""
"dspplate",MIGRATED,"abyssalcraft:dspplate",""
"energycollector",MIGRATED,"abyssalcraft:energycollector",""
"energydepositioner",MIGRATED,"abyssalcraft:energydepositioner",""
"energypedestal",MIGRATED,"abyssalcraft:energypedestal",""
"energyrelay",MIGRATED,"abyssalcraft:energyrelay",""
"ethaxiumaxe",MIGRATED,"abyssalcraft:ethaxiumaxe",""
"ethaxiumboots",MIGRATED,"abyssalcraft:ethaxiumboots",""
"ethaxiumbrick_0",MIGRATED,"abyssalcraft:ethaxiumbrick_0",""
"ethaxiumbrick_1",MIGRATED,"abyssalcraft:ethaxiumbrick_1",""
"ethaxiumbrickslab1_0",MIGRATED,"abyssalcraft:ethaxiumbrickslab1_0",""
"ethaxiumbrickstairs",MIGRATED,"abyssalcraft:ethaxiumbrickstairs",""
"ethaxiumfence",MIGRATED,"abyssalcraft:ethaxiumfence",""
"ethaxiumhelmet",MIGRATED,"abyssalcraft:ethaxiumhelmet",""
"ethaxiumhoe",MIGRATED,"abyssalcraft:ethaxiumhoe",""
"ethaxiumingot",MIGRATED,"abyssalcraft:ethaxiumingot",""
